7.4	0	1.9	34	0.9978	3.51
7.8	0	2.6	67	0.9968	3.2
7.8	0.04	2.3	54	0.997	3.26
11.2	0.56	1.9	60	0.998	3.16
7.4	0	1.9	34	0.9978	3.51
7.4	0	1.8	40	0.9978	3.51
7.9	0.06	1.6	59	0.9964	3.3
7.3	0	1.2	21	0.9946	3.39
7.8	0.02	2	18	0.9968	3.36
7.5	0.36	6.1	102	0.9978	3.35
6.7	0.08	1.8	65	0.9959	3.28
7.5	0.36	6.1	102	0.9978	3.35
5.6	0	1.6	59	0.9943	3.58
7.8	0.29	1.6	29	0.9974	3.26
8.9	0.18	3.8	145	0.9986	3.16
8.9	0.19	3.9	148	0.9986	3.17
8.5	0.56	1.8	103	0.9969	3.3
8.1	0.28	1.7	56	0.9968	3.11
7.4	0.08	4.4	29	0.9974	3.38
7.9	0.51	1.8	56	0.9969	3.04
8.9	0.48	1.8	60	0.9968	3.39
7.6	0.31	2.3	71	0.9982	3.52
7.9	0.21	1.6	37	0.9966	3.17
8.5	0.11	2.3	67	0.9968	3.17
6.9	0.14	2.4	40	0.9968	3.43
6.3	0.16	1.4	23	0.9955	3.34
7.6	0.24	1.8	11	0.9962	3.28
7.9	0.21	1.6	37	0.9966	3.17
7.1	0	1.9	35	0.9972	3.47
